交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     
"2020090622001147411455723331_1230495734197833850_advance	","T200P1230495734195833850	",2020/9/9 10:41,                    ,2020/9/9 10:41,淘宝        ,支付宝担保交易         ,无印良品muji官方旗舰店   ,退款-无印良品 MUJI 女式 粗棉线　天竺编织 落肩T恤 等多件,108,收入      ,退款成功    ,0,0,                    ,已收入      
"2020090922001447411457088376	","CN_V1_600040714818240236	",2020/9/9 10:41,2020/9/9 10:41,2020/9/9 10:41,其他（包括阿里巴巴和外部商家）,即时到账交易          ,浙江菜鸟供应链管理有限公司   ,菜鸟裹裹-寄件费_1593835038_3025200348833850,8,支出      ,交易成功    ,0,0,                    ,已支出      
"2020090922001447411457392046	","232767689444        	",2020/9/9 10:06,2020/9/9 10:06,2020/9/9 10:06,其他（包括阿里巴巴和外部商家）,即时到账交易          ,淞虹              ,7-ELEVEn上海国通消费      ,9,支出      ,交易成功    ,0,0,                    ,已支出      
"2020090922001447411456858297	","20090970095503399707	",2020/9/9 7:57,2020/9/9 7:57,2020/9/9 7:57,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,淮南牛肉汤(世界路店)外卖订单     ,25.79,支出      ,交易成功    ,0,0,                    ,已支出      
"20200909301785029411 	","                    	",2020/9/9 2:05,                    ,2020/9/9 2:05,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.09.08-收益发放 ,0.02,收入      ,交易成功    ,0,0,                    ,已收入      
"2020090922001147411457248879_1234238905306833850	","T200P1234238905306833850	",2020/9/9 0:17,                    ,2020/9/9 0:17,淘宝        ,支付宝担保交易         ,niceclaup官方旗舰店  ,退款-NICE CLAUP夏季日系甜美一字领露肩女上衣中袖修身上衣earthmusic,68.81,收入      ,退款成功    ,0,0,                    ,已收入      
"2020090922001147411456863648	","T200P1234238905311833850	",2020/9/9 0:17,2020/9/9 0:17,2020/9/9 0:17,淘宝        ,支付宝担保交易         ,百雀羚旗舰店          ,【99划算价】百雀羚小雀幸面膜女补水保湿修护精华面膜深层清洁旗舰店官网正品,132.36,支出      ,等待对方发货  ,0,0,                    ,已支出      
"2020090922001147411456904022	","T200P1234238905310833850	",2020/9/9 0:17,2020/9/9 0:17,2020/9/9 0:17,淘宝        ,支付宝担保交易         ,ora2皓乐齿旗舰店      ,【99划算价】日本进口ora2皓乐齿超细毛软毛牙刷小刷头温和清洁牙齿牙刷3支,48.65,支出      ,等待对方发货  ,0,0,                    ,已支出      
"2020090922001147411457248879	","T200P1234238905306833850	",2020/9/9 0:17,2020/9/9 0:17,2020/9/9 0:17,淘宝        ,支付宝担保交易         ,niceclaup官方旗舰店  ,NICE CLAUP夏季日系甜美一字领露肩女上衣中袖修身上衣earthmusic,68.81,支出      ,交易关闭    ,0,0,                    ,已支出      
"2020090922001147411457376386	","T200P1234238905307833850	",2020/9/9 0:17,2020/9/9 0:17,2020/9/9 6:31,淘宝        ,支付宝担保交易         ,无印良品muji官方旗舰店   ,无印良品 MUJI PETG分装瓶/翻盖式 等多件,17.81,支出      ,等待确认收货  ,0,0,                    ,已支出      
"2020090822001148871452113086	","T200P1233396111630198748	",2020/9/8 10:18,2020/9/8 10:18,2020/9/9 9:32,淘宝        ,支付宝担保交易         ,t***0           ,猫与风铃草 苔丝的秘密 衬衫lolita衬衫,228,收入      ,等待对方确认收货,0,0,                    ,待收入      
"20200908300044373411 	","                    	",2020/9/8 2:34,                    ,2020/9/8 2:34,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.09.07-收益发放 ,0.02,收入      ,交易成功    ,0,0,                    ,已收入      
"2020090722001447411455710843	","00202000888312009070907281930	",2020/9/7 20:18,2020/9/7 20:18,2020/9/7 20:18,其他（包括阿里巴巴和外部商家）,即时到账交易          ,联华超市(国和店)       ,百联商品                ,5.8,支出      ,交易成功    ,0,0,                    ,已支出      
